Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,StdError,StdError,StdError,StdError,StdError,StdError
Pressure,Temperature,Altitude,CO2,CO,H2O,O3,HCl,Pressure,Temperature,CO2,CO,H2O,O3
1.6160e-03,1.8441e+02,2.0138e+01,9.6277e-01,7.0979e-04,1.0259e-04,3.7686e-08,1.0000e-09,1.6160e-03,2.3387e+01,5.3876e-03,1.2684e-04,9.6083e-05,6.4690e-08
1.3930e-03,1.8242e+02,2.1513e+01,9.6278e-01,7.1162e-04,9.3281e-05,3.3582e-08,1.0000e-09,1.3930e-03,2.2525e+01,5.1539e-03,1.2430e-04,9.0777e-05,5.7865e-08
1.1960e-03,1.8041e+02,2.2910e+01,9.6279e-01,7.1393e-04,8.4893e-05,3.0089e-08,1.0000e-09,1.1960e-03,2.1706e+01,4.9782e-03,1.2311e-04,8.5232e-05,5.1276e-08
1.0000e-03,1.7807e+02,2.4527e+01,9.6281e-01,7.1717e-04,7.6528e-05,2.7030e-08,1.0000e-09,1.0000e-03,2.0820e+01,4.8298e-03,1.2322e-04,7.9710e-05,4.4585e-08
7.2060e-04,1.7407e+02,2.7434e+01,9.6283e-01,7.2490e-04,6.4128e-05,2.4053e-08,1.0000e-09,7.2060e-04,1.9347e+01,4.6482e-03,1.2684e-04,7.1551e-05,3.5704e-08
5.0373e-04,1.7022e+02,3.0534e+01,9.6287e-01,7.3645e-04,5.3617e-05,2.4095e-08,1.0000e-09,5.0373e-04,1.7960e+01,4.5158e-03,1.3607e-04,6.3547e-05,3.1511e-08
3.3249e-04,1.6654e+02,3.4046e+01,9.6291e-01,7.5550e-04,4.4711e-05,2.8935e-08,1.0000e-09,3.3249e-04,1.6676e+01,4.3830e-03,1.5596e-04,5.5497e-05,3.5338e-08
2.0533e-04,1.6326e+02,3.8028e+01,9.6294e-01,7.8828e-04,3.7651e-05,4.3136e-08,1.0000e-09,2.0533e-04,1.5582e+01,4.2013e-03,1.9778e-04,4.8319e-05,6.1950e-08
1.1327e-04,1.6036e+02,4.2839e+01,9.6291e-01,8.4844e-04,3.0871e-05,6.4739e-08,1.0000e-09,1.1327e-04,1.4423e+01,3.9187e-03,2.8554e-04,3.9722e-05,1.2894e-07
8.9605e-05,1.5948e+02,4.4708e+01,9.6286e-01,8.8102e-04,2.7925e-05,6.4875e-08,1.0000e-09,8.9605e-05,1.3822e+01,3.8226e-03,3.3260e-04,3.5231e-05,1.3873e-07
5.6015e-05,1.5801e+02,4.8421e+01,9.6273e-01,9.4903e-04,2.2469e-05,5.5390e-08,1.0000e-09,5.6015e-05,1.2932e+01,3.6541e-03,4.3637e-04,2.6490e-05,1.3431e-07
3.0554e-05,1.5661e+02,5.3158e+01,9.6243e-01,1.0675e-03,1.6327e-05,2.7435e-08,1.0000e-09,3.0554e-05,1.1837e+01,3.6379e-03,6.0571e-04,1.6428e-05,6.3180e-08
1.5898e-05,1.5596e+02,5.8217e+01,9.6197e-01,1.2337e-03,1.5281e-05,2.1380e-08,1.0000e-09,1.5898e-05,1.1966e+01,3.8974e-03,8.3104e-04,1.4089e-05,4.0019e-08
8.0357e-06,1.5587e+02,6.3472e+01,9.6133e-01,1.4535e-03,1.4679e-05,3.0362e-08,1.0000e-09,8.0357e-06,1.3089e+01,4.5060e-03,1.1252e-03,1.3142e-05,6.0014e-08
3.9993e-06,1.5521e+02,6.8818e+01,9.6041e-01,1.7422e-03,1.3916e-05,4.4027e-08,1.0000e-09,3.9993e-06,1.3982e+01,5.5880e-03,1.5054e-03,1.2279e-05,1.1836e-07
1.9860e-06,1.5449e+02,7.4140e+01,9.5893e-01,2.1888e-03,1.3208e-05,5.2636e-08,1.0000e-09,1.9860e-06,1.4020e+01,7.4509e-03,2.0688e-03,1.1559e-05,1.8633e-07
9.8622e-07,1.5276e+02,7.9404e+01,9.5622e-01,3.0008e-03,1.2449e-05,1.9377e-08,1.0000e-09,9.8622e-07,1.3214e+01,1.0958e-02,3.0766e-03,1.0870e-05,5.8600e-08
